ClassCode,ClassName,ProductCode,ProductName
101515,Semillas y plántulas vegetales,10151516,Semillas o plántulas de soya
101515,Semillas y plántulas vegetales,10151517,Semillas o plántulas de espinaca
101515,Semillas y plántulas vegetales,10151518,Semillas o plántulas de tomate
101515,Semillas y plántulas vegetales,10151519,Semillas o plántulas de nabo
101515,Semillas y plántulas vegetales,10151520,Semillas o plántulas de acelga
101515,Semillas y plántulas vegetales,10151521,Semillas o plántulas de pimiento morrón
101515,Semillas y plántulas vegetales,10151522,Semillas o plántulas de remolacha
101515,Semillas y plántulas vegetales,10151523,Semillas o plántulas de coliflor
101515,Semillas y plántulas vegetales,10151524,Semillas o plántulas de perejil
101515,Semillas y plántulas vegetales,10151525,Semillas o plántulas de brócoli
101515,Semillas y plántulas vegetales,10151526,Semillas o plántulas de repollo
101515,Semillas y plántulas vegetales,10151527,Semillas o plántulas de papa
101515,Semillas y plántulas vegetales,10151528,Semillas o plántulas de batata
101515,Semillas y plántulas vegetales,10151529,Semillas o plántulas de calabaza
101515,Semillas y plántulas vegetales,10151530,Semillas o plántulas de rábano
101515,Semillas y plántulas vegetales,10151531,Semillas o plántulas de repollitos de bruselas
101515,Semillas y plántulas vegetales,10151532,Semillas o plántulas de ahuyama
101515,Semillas y plántulas vegetales,10151533,Semillas o plántulas de okra
101515,Semillas y plántulas vegetales,10151534,Semillas o plántulas de melón cantalupo
101515,Semillas y plántulas vegetales,10151535,Semillas o plántulas de maní
101515,Semillas y plántulas vegetales,10151536,Semillas o plántulas de caigua
101515,Semillas y plántulas vegetales,10151537,Semillas o plántulas de espárrago
101515,Semillas y plántulas vegetales,10151538,Semillas o plántulas de garbanzo
101515,Semillas y plántulas vegetales,10151539,Semillas o plántulas de haba
101516,Semillas de cereales,10151601,Semillas de trigo
101516,Semillas de cereales,10151602,Semillas de canola
101516,Semillas de cereales,10151603,Semillas de cebada
101516,Semillas de cereales,10151604,Semillas de mijo
101516,Semillas de cereales,10151605,Semillas de avena
101516,Semillas de cereales,10151606,Semillas de ajonjolí
101516,Semillas de cereales,10151607,Semillas de linaza
101516,Semillas de cereales,10151608,Semillas de aceite de ricino
101516,Semillas de cereales,10151609,Semillas de maíz
101516,Semillas de cereales,10151610,Semillas de centeno
101516,Semillas de cereales,10151611,Semillas de sorgo
101516,Semillas de cereales,10151612,Semillas o plántulas de kiwicha
101516,Semillas de cereales,10151613,Semillas o plántulas de quínoa
101517,Semillas y plántulas de hierba y forraje,10151701,Semillas o plántulas de arroz
101517,Semillas y plántulas de hierba y forraje,10151702,Semillas o plántulas de trébol
101517,Semillas y plántulas de hierba y forraje,10151703,Semillas o plántulas de alfalfa
101517,Semillas y plántulas de hierba y forraje,10151704,Semillas o plántulas de pasto
101517,Semillas y plántulas de hierba y forraje,10151705,Semillas o plántulas de veza (gachas / guija)
101517,Semillas y plántulas de hierba y forraje,10151706,Semillas o plántulas de guar
101518,Semillas y plántulas de especias,10151801,Semillas o plántulas de pimienta
101518,Semillas y plántulas de especias,10151802,Semillas o plántulas de vainilla
101518,Semillas y plántulas de especias,10151803,Semillas o plántulas de canela
101518,Semillas y plántulas de especias,10151804,Semillas o plántulas de clavo de olor
101518,Semillas y plántulas de especias,10151805,Semillas o plántulas de cilantro
101518,Semillas y plántulas de especias,10151806,Semillas o plántulas de jengibre
101518,Semillas y plántulas de especias,10151807,Semillas o plántulas de azafrán
101518,Semillas y plántulas de especias,10151808,Semillas o plántulas de tomillo
101518,Semillas y plántulas de especias,10151809,Semillas o plántulas de curry
101518,Semillas y plántulas de especias,10151810,Semillas o plántulas de mostaza
101518,Semillas y plántulas de especias,10151811,Semillas o plántulas de ginseng
101518,Semillas y plántulas de especias,10151812,Semillas o plántulas de champiñones
101518,Semillas y plántulas de especias,10151813,Semillas o plántulas de sacha inchi
101518,Semillas y plántulas de especias,10151814,Semillas o plántulas de achiote
101518,Semillas y plántulas de especias,10151815,Semillas o plántulas de kudzu
101518,Semillas y plántulas de especias,10151816,Semillas o plántulas de albahaca
101518,Semillas y plántulas de especias,10151817,Semillas o plántulas de anís
101519,"Semillas, bulbos, plántulas y esquejes de flores",10151901,"Semillas, bulbos, plántulas o esquejes de tulipán"
101519,"Semillas, bulbos, plántulas y esquejes de flores",10151902,"Semillas, plántulas o esquejes de rosa"
101519,"Semillas, bulbos, plántulas y esquejes de flores",10151903,"Semillas, bulbos, plántulas o esquejes de narciso"
101519,"Semillas, bulbos, plántulas y esquejes de flores",10151904,Semillas de girasol
101519,"Semillas, bulbos, plántulas y esquejes de flores",10151905,Bulbos o tallos de jacinto
101519,"Semillas, bulbos, plántulas y esquejes de flores",10151906,Bulbos de lirio
101519,"Semillas, bulbos, plántulas y esquejes de flores",10151907,Semillas o plántulas de veza
101520,Semillas y esquejes de árboles y arbustos,10152001,Semillas o esquejes de árboles frutales
101520,Semillas y esquejes de árboles y arbustos,10152002,Semillas o esquejes de coníferas
101520,Semillas y esquejes de árboles y arbustos,10152003,Semillas o esquejes de árboles de frutos secos
101520,Semillas y esquejes de árboles y arbustos,10152004,Plántulas de latifoliados
101520,Semillas y esquejes de árboles y arbustos,10152005,Plántulas de coníferas
101520,Semillas y esquejes de árboles y arbustos,10152006,Semillas o yemas de pino
101520,Semillas y esquejes de árboles y arbustos,10152007,Semillas o yemas de algarrobo
101521,Residuos que no sean de piensos,10152101,Extracción de los residuos de semilla de babool
101521,Residuos que no sean de piensos,10152102,Residuos de semilla de colza
101521,Residuos que no sean de piensos,10152103,Residuo de semillas de linaza
101521,Residuos que no sean de piensos,10152104,Torta de neem
101522,Semillas de cultivos fibrosos y semilleros,10152201,Semillas o plántulas de algodón
101522,Semillas de cultivos fibrosos y semilleros,10152202,Semillas o plántulas de lino
101615,Árboles y arbustos,10161501,Aceitunos
101615,Árboles y arbustos,10161502,Cafetos
101615,Árboles y arbustos,10161503,Cacaoteros
101615,Árboles y arbustos,10161504,Manzanos
101615,Árboles y arbustos,10161505,Peros
101615,Árboles y arbustos,10161506,Naranjos
101615,Árboles y arbustos,10161507,Rododendros
101615,Árboles y arbustos,10161508,Plantas de te
101615,Árboles y arbustos,10161509,Coníferas
101615,Árboles y arbustos,10161510,Abetos rojos (píceas)
101615,Árboles y arbustos,10161511,Pinos
101615,Árboles y arbustos,10161512,Abetos
101615,Árboles y arbustos,10161513,Palmeras
101615,Árboles y arbustos,10161514,Casuarina
101615,Árboles y arbustos,10161515,Ciprés
101615,Árboles y arbustos,10161516,Eucalipto
101615,Árboles y arbustos,10161517,Árbol de quinua
101615,Árboles y arbustos,10161518,Magnolio
101615,Árboles y arbustos,10161519,Mioporo
101615,Árboles y arbustos,10161520,Acalifa
101615,Árboles y arbustos,10161521,Tecomaria capensis o madreselva del cabo
101615,Árboles y arbustos,10161522,Arbusto croton bolaina
101615,Árboles y arbustos,10161523,Abutillón
101615,Árboles y arbustos,10161524,Ficus
101615,Árboles y arbustos,10161525,Lúcumo
101615,Árboles y arbustos,10161526,Aguacatal
101615,Árboles y arbustos,10161527,Guanábano
101615,Árboles y arbustos,10161528,Carambolo
101615,Árboles y arbustos,10161529,Ciruelo
101615,Árboles y arbustos,10161530,Árbol de quince
101616,Plantas florales,10161602,Poinsettias
101616,Plantas florales,10161604,Azaleas
101616,Plantas florales,10161605,Cactos
101616,Plantas florales,10161606,Ageratum púrpura
101618,Plantas sin flor,10161801,Helechos
101618,Plantas sin flor,10161802,Hiedras
101618,Plantas sin flor,10161803,Filodendros
101618,Plantas sin flor,10161804,Líquenes
101618,Plantas sin flor,10161805,Vides
101619,Productos florales secos,10161901,Vainas secas
101619,Productos florales secos,10161902,Follaje seco
101619,Productos florales secos,10161903,Helechos secos
101619,Productos florales secos,10161905,Ramas y tallos secos
101619,Productos florales secos,10161906,Penachos de gramíneas secos
101619,Productos florales secos,10161907,Flores secas prensadas
101619,Productos florales secos,10161908,Pétalos secos
101715,Abonos orgánicos y nutrientes para plantas,10171501,Estiércol o guano
101715,Abonos orgánicos y nutrientes para plantas,10171502,Hormonas para plantas
101715,Abonos orgánicos y nutrientes para plantas,10171503,Harina de pescado
101715,Abonos orgánicos y nutrientes para plantas,10171504,Abono
101715,Abonos orgánicos y nutrientes para plantas,10171505,Nutriente foliar
101715,Abonos orgánicos y nutrientes para plantas,10171506,Humus
101716,Abonos químicos y nutrientes para plantas,10171601,Fertilizante nitrogenado
101716,Abonos químicos y nutrientes para plantas,10171602,Fertilizante de potasio
101716,Abonos químicos y nutrientes para plantas,10171603,Fertilizante de fósforo
101716,Abonos químicos y nutrientes para plantas,10171604,Fertilizante de sulfuro
101716,Abonos químicos y nutrientes para plantas,10171605,Mezclas de nitrógeno – fósforo – potasio – npk
101716,Abonos químicos y nutrientes para plantas,10171606,Fertilizarte de sílice puro
101716,Abonos químicos y nutrientes para plantas,10171607,Fertilizante con magnesio
101716,Abonos químicos y nutrientes para plantas,10171608,Fertilizante micro elemento
101716,Abonos químicos y nutrientes para plantas,10171609,Fertilizante fosfato de sílice
101716,Abonos químicos y nutrientes para plantas,10171610,Fertilizante potasio de sílice
101716,Abonos químicos y nutrientes para plantas,10171611,Fertilizante de calcio
101717,Herbicidas,10171701,Matamalezas
101717,Herbicidas,10171702,Fungicidas
101718,Acondicionadores de suelos,10171801,Acondicionador orgánico de suelos
101718,Acondicionadores de suelos,10171802,Acondicionador inorgánico de suelos
101915,Pesticidas o repelentes de plagas,10191506,Mata – roedores 
101915,Pesticidas o repelentes de plagas,10191507,Repelentes de aves
101915,Pesticidas o repelentes de plagas,10191508,Protectores contra termitas
101915,Pesticidas o repelentes de plagas,10191509,Insecticidas
101915,Pesticidas o repelentes de plagas,10191510,Abamectina
101915,Pesticidas o repelentes de plagas,10191511,Fipronil
101917,Dispositivos para control de plagas,10191701,Trampas para control animal
101917,Dispositivos para control de plagas,10191703,Trampas para el control de insectos voladores
101917,Dispositivos para control de plagas,10191704,Matamoscas
101917,Dispositivos para control de plagas,10191705,Lazos
101917,Dispositivos para control de plagas,10191706,Cepos
